Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Bike Cadence,Max Bike Cadence,Avg Speed,Max Speed,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Avg Bike Cadence,Max Bike Cadence,Normalized Power® (NP®),L/R Balance,Training Stress Score®,Max Avg Power (20 min),Avg Power,Max Power,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Total Reps,Total Sets,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Stress Change,Stress Start,Stress End,Avg Stress,Max Stress,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Treadmill Running,2024-02-11 13:52:16,false,"Run Walk Run®","3.24","498","00:37:15","144","175","3.9","140","180","11:30","6:46","--","--","0.99","7.8","7.8","300","--","--","--","391","--","0.0","--","334","620","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:12.50","7","0.0","--","--","--","--","--","--","--","--","00:36:59","00:37:15","--","--"
Breathwork,2024-02-10 08:08:16,false,"Tranquility","0.00","0","00:11:03","78","98","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","3","16","-17","76","59","69","78","00:00:00","00:11:03","--","--"
Running,2024-02-08 16:17:56,false,"Denton County - Drill Workout","2.00","312","00:29:05","125","164","2.8","128","214","14:32","8:44","42","47","0.82","8.0","6.5","357","14:30","--","--","316","--","0.0","--","253","537","0.0","0.0","--","0","0","0","--","0:00","69.8","0:00","No","00:05.35","14","84.2","--","--","--","--","--","--","--","--","00:28:54","00:29:05","561","589"
Running,2024-02-06 11:18:00,false,"Denton County - Drill Workout","1.81","280","00:27:18","119","164","2.6","124","239","15:06","7:13","40","36","0.81","7.9","6.3","323","15:10","--","--","288","--","0.0","--","232","620","0.0","0.0","--","0","0","0","--","0:00","73.4","0:00","No","00:10.95","12","80.6","--","--","--","--","--","--","--","--","00:27:05","00:27:18","568","594"
Breathwork,2024-02-05 20:57:58,false,"Tranquility","--","0","00:11:03","68","78","0.0","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","3","17","10","30","40","37","54","00:00:00","00:11:03","--","--"
Walking,2024-02-04 11:02:07,false,"Denton County Walking","1.05","150","00:21:30","108","114","0.7","108","134","20:29","14:59","29","26","0.73","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:42.86","2","0.0","27","19","34","--","--","--","--","--","00:21:19","00:21:30","562","584"
Running,2024-02-04 10:03:48,false,"Denton County - Run","2.21","364","00:30:15","142","170","3.3","135","239","13:42","9:33","61","63","0.84","8.0","6.7","361","13:42","--","--","316","--","0.0","--","269","637","0.0","0.0","--","0","0","0","--","0:00","59.0","0:00","No","04:11.20","5","64.4","32","20","43","--","--","--","--","--","00:30:04","00:30:15","549","582"
Walking,2024-02-04 09:33:04,false,"Denton County Walking","1.81","262","00:30:21","114","129","2.0","119","240","16:46","13:49","47","62","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:16.94","3","0.0","24","18","31","--","--","--","--","--","00:30:03","00:30:21","553","593"
Running,2024-02-01 18:02:51,false,"Denton County - Drill Workout","1.74","286","00:25:04","133","176","3.2","127","196","14:26","6:36","32","33","0.84","8.0","6.6","338","14:28","--","--","313","--","0.0","--","257","662","0.0","0.0","--","0","0","0","--","0:00","71.6","0:00","No","00:03.63","11","82.4","--","--","--","--","--","--","--","--","00:25:01","00:25:04","558","587"
Walking,2024-02-01 12:12:52,false,"Denton County Walking","3.31","486","00:55:52","112","136","2.4","116","223","16:53","13:49","95","78","0.82","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:03.66","6","0.0","--","--","--","--","--","--","--","--","00:55:06","00:55:52","554","596"
Walking,2024-01-31 10:33:00,false,"Denton County Walking","2.35","334","00:46:20","93","112","2.0","107","129","19:43","15:08","48","37","0.76","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","09:23.09","4","0.0","--","--","--","--","--","--","--","--","00:46:02","00:46:20","558","591"
Running,2024-01-30 11:26:49,false,"Denton County - Drill Workout","1.77","272","00:25:10","114","157","2.7","133","190","14:15","7:33","49","32","0.82","8.3","6.7","329","14:13","--","--","313","--","0.0","--","268","614","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:09.64","11","0.0","--","--","--","--","--","--","--","--","00:25:01","00:25:10","552","591"
Running,2024-01-28 17:18:09,false,"Denton County - Run Walk Run®","2.41","391","00:34:57","131","154","3.0","131","243","14:29","10:23","47","39","0.80","8.7","6.9","320","14:34","--","--","295","--","0.0","--","261","489","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:46.92","6","0.0","--","--","--","--","--","--","--","--","00:34:30","00:34:57","550","581"
Running,2024-01-25 09:13:52,false,"Denton County - Drill Workout","1.74","271","00:25:24","122","163","2.7","135","237","14:38","7:49","27","22","0.80","8.1","6.4","376","14:42","--","--","292","--","0.0","--","253","557","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:01.52","12","0.0","--","--","--","--","--","--","--","--","00:25:08","00:25:40","560","586"
Running,2024-01-23 14:03:07,false,"Denton County - Drill Workout","1.87","314","00:25:12","140","173","3.2","146","190","13:28","8:10","44","44","0.81","8.6","6.9","329","13:20","--","--","336","--","0.0","--","302","519","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:11.89","10","0.0","--","--","--","--","--","--","--","--","00:25:03","00:25:12","562","592"
Running,2024-01-21 14:16:34,false,"Denton County - Run","1.87","306","00:25:14","134","161","3.2","142","176","13:28","8:49","36","33","0.83","8.3","6.9","330","13:21","--","--","340","--","0.0","--","296","506","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:10.43","5","0.0","--","--","--","--","--","--","--","--","00:25:11","00:25:14","568","593"
Virtual Cycling,2024-01-21 08:56:44,false,"ROUVY - Culverden | Hurunui | New Zealand","10.15","357","00:42:21","150","174","3.1","--","--","14.4","24.9","459","70","0.00","0.0","0.0","0","--","65","85","156","--","70.0","156","147","404","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","42:21.00","1","0.0","--","--","--","--","--","--","--","--","00:42:21","00:42:26","644","1,010"
Running,2024-01-18 09:19:44,false,"Denton County - Drill Workout","1.59","261","00:22:06","132","155","3.0","139","179","13:55","8:54","41","38","0.81","8.5","6.8","315","13:59","--","--","331","--","0.0","--","282","494","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:05.60","8","0.0","--","--","--","--","--","--","--","--","00:21:42","00:22:06","551","582"
Running,2024-01-16 16:41:13,false,"Denton County - Drill Workout","1.55","265","00:20:58","143","172","3.2","145","182","13:31","9:11","37","42","0.81","8.8","7.0","303","13:33","--","--","334","--","0.0","--","299","526","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:07.98","8","0.0","--","--","--","--","--","--","--","--","00:20:55","00:20:58","552","585"
Trail Running,2024-01-14 15:57:43,false,"Denton County - Run Walk Run®","2.34","365","00:35:36","143","183","3.0","136","241","15:13","8:57","7","7","0.71","10.4","6.4","318","22:14","--","--","273","--","0.0","--","219","507","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:27.48","3","0.0","--","--","--","--","--","--","--","--","00:33:41","00:35:36","583","592"
Treadmill Running,2024-01-14 15:37:26,false,"Treadmill Running","1.00","112","00:18:18","105","121","0.6","113","122","18:19","14:49","--","--","0.86","7.1","6.1","0","--","--","--","191","--","0.0","--","180","220","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:57.27","2","0.0","--","--","--","--","--","--","--","--","00:17:08","00:18:18","--","--"
Running,2024-01-11 10:18:07,false,"Denton County - Benchmark Run","0.73","121","00:09:00","143","181","2.6","139","192","12:25","6:59","22","18","0.89","7.6","6.7","314","11:54","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:00.00","3","0.0","28","14","37","--","--","--","--","--","00:08:59","00:09:00","568","591"
Virtual Cycling,2024-01-08 08:05:42,false,"ROUVY - Vietnam - the awesome Ha Long Bay","11.33","316","00:40:14","0","0","--","--","--","16.9","20.5","85","8","0.00","0.0","0.0","0","--","70","146","145","--","57.0","155","137","344","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","40:14.00","1","0.0","--","--","--","--","--","--","--","--","00:40:03","00:40:18","17","54"
Pool Swimming,2024-01-02 11:15:18,false,"Pool Swimming","50","16","00:01:09.3","83","97","--","--","--","1:58","1:50","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","16","38","16","0","--","0:00","0.0","0:00","No","00:01.90","4","0.0","--","--","--","--","--","--","--","--","00:00:59.3","00:02:07.5","--","--"
Walking,2023-12-29 10:51:15,false,"Ubatuba Walking","0.39","72","00:12:28","101","121","--","75","155","32:07","23:57","23","13","0.67","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","12:27.52","1","0.0","--","--","--","--","--","--","--","--","00:10:47","00:12:28","61","93"
Walking,2023-12-29 10:40:43,false,"Ubatuba Walking","0.31","58","00:10:16","96","115","--","57","151","33:09","20:15","23","7","0.85","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","10:15.91","1","0.0","--","--","--","--","--","--","--","--","00:06:06","00:10:16","58","86"
Walking,2023-12-27 11:48:33,false,"Ubatuba Walking","1.65","249","00:39:17","108","119","--","95","140","23:53","19:25","7","--","0.71","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","16:37.20","2","0.0","--","--","--","--","--","--","--","--","00:36:44","00:39:17","18","31"
Running,2023-12-11 12:20:00,false,"Denton County - Run Walk Run®","1.76","282","00:25:46","130","170","--","133","176","14:36","9:51","23","16","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:46.28","3","0.0","--","--","--","--","--","--","--","--","00:25:43","00:25:46","556","586"
Running,2023-12-07 15:57:25,false,"Denton County - Cadence Drills","1.42","218","00:22:03","123","158","--","125","178","15:31","9:51","33","23","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.23","7","0.0","--","--","--","--","--","--","--","--","00:22:03","00:22:03","569","600"
Virtual Cycling,2023-12-05 15:50:37,false,"ROUVY - La Vuelta 2022 | Stage 2 - Elst | NL","6.78","204","00:24:42","149","171","--","--","--","16.5","22.2","128","20","0.00","0.0","0.0","0","--","69","85","155","--","40.0","146","144","342","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","24:41.100","1","0.0","--","--","--","--","--","--","--","--","00:24:41","00:25:15","9","93"
Running,2023-12-03 12:12:15,false,"Denton County - Run Walk Run®","1.81","287","00:25:53","129","166","--","140","172","14:16","10:43","72","30","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:52.79","3","0.0","--","--","--","--","--","--","--","--","00:25:53","00:25:53","587","647"
Running,2023-12-01 13:31:21,false,"Denton County - Cadence Drills","1.34","210","00:20:15","133","163","--","128","174","15:08","9:31","36","13","0.83","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:14.20","7","0.0","--","--","--","--","--","--","--","--","00:20:15","00:20:15","571","604"
Walking,2023-11-27 11:17:13,false,"Denton County Walking","1.10","162","00:18:52","115","131","--","115","126","17:14","14:59","26","52","0.82","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:53.50","2","0.0","--","--","--","--","--","--","--","--","00:18:51","00:18:52","532","566"
Running,2023-11-27 11:07:26,false,"Denton County - Benchmark Run","0.76","117","00:09:00","150","184","--","153","182","11:51","9:08","7","7","0.88","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:00.00","3","0.0","--","--","--","--","--","--","--","--","00:09:00","00:09:00","570","581"
Breathwork,2023-11-23 19:39:20,false,"Tranquility","--","--","00:11:03","100","113","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","5","4","15","-6","83","77","77","94","00:00:00","00:11:03","--","--"
Walking,2023-10-31 18:05:50,false,"Denton County Walking","0.96","243","00:43:35","108","124","--","32","126","45:23","2:28","23","30","1.11","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","43:34.56","1","0.0","--","--","--","--","--","--","--","--","00:20:09","00:43:35","560","575"
Virtual Cycling,2023-10-31 12:21:47,false,"ROUVY - Challenge Gunsan-Saemangeum 2022 | Korea 30km","18.64","514","01:05:23","160","175","--","--","--","17.1","23.8","85","42","0.00","0.0","0.0","0","--","69","86","146","--","95.0","155","137","327","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:05:23.00","1","0.0","--","--","--","--","--","--","--","--","01:05:23","01:05:35","24","79"
Virtual Cycling,2023-10-30 12:48:50,false,"ROUVY - Passo Pordoi to Corvara | Sella Ronda | Italy","7.23","554","01:05:43","162","176","--","--","--","6.6","44.7","1,490","1,346","0.00","0.0","0.0","0","--","40","148","170","--","128.0","185","147","448","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:05:43.00","1","0.0","--","--","--","--","--","--","--","--","01:05:26","01:05:47","5,957","7,367"
Cycling,2023-10-21 07:36:09,false,"Frisco Cycling","44.18","2,164","03:34:08","138","189","--","--","--","12.4","28.1","3,402","--","0.00","0.0","0.0","0","--","68","147","--","--","0.0","--","0","0","0.0","0.0","7976","0","0","0","--","0:00","53.6","0:00","No","03:34:08.01","1","78.8","--","--","--","--","--","--","--","--","02:57:56","03:34:15","-1,640","823"
Walking,2023-10-20 07:49:08,false,"Denton County Walking","1.76","254","00:30:21","104","121","--","117","134","17:14","12:23","13","7","0.79","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:10.40","2","0.0","--","--","--","--","--","--","--","--","00:30:21","00:30:21","572","591"
Virtual Cycling,2023-10-17 12:53:39,false,"ROUVY - Lake Ohau | New Zealand","0.27","9","00:08:25","123","144","--","--","--","1.9","9.3","16","--","0.00","0.0","0.0","0","--","38","127","47","--","1.0","--","19","118","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","08:24.100","1","0.0","--","--","--","--","--","--","--","--","00:02:48","00:08:27.5","1,675","1,692"
Virtual Cycling,2023-10-17 11:40:32,false,"ROUVY - Vietnam - the awesome Ha Long Bay","18.86","530","01:12:46","159","188","--","--","--","15.6","36.9","276","203","0.00","0.0","0.0","0","--","62","138","145","--","104.0","165","127","381","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:12:45.100","1","0.0","--","--","--","--","--","--","--","--","01:12:46","01:12:58","11","146"
Cardio,2023-10-14 16:25:48,false,"Cardio","0.00","210","01:16:02","82","111","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:16:02.00","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:16:02","448","726"
Cardio,2023-10-13 21:13:46,false,"Cardio","0.00","124","00:44:14","82","105","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","44:14.30","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:44:14","482","528"
Virtual Cycling,2023-10-13 15:21:58,false,"ROUVY - L´Etape Rio de Janeiro | Sprint Route | Brazil","21.52","579","01:15:51","156","178","--","--","--","17.0","25.8","184","148","0.00","0.0","0.0","0","--","60","88","145","--","107.0","151","133","434","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:15:50.100","1","0.0","--","--","--","--","--","--","--","--","01:15:51","01:15:59","-18","42"
Walking,2023-10-13 07:50:18,false,"Denton County Walking","2.17","312","00:38:45","110","125","--","112","125","17:50","15:32","36","43","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","03:20.09","3","0.0","--","--","--","--","--","--","--","--","00:38:45","00:38:45","557","593"
Breathwork,2023-10-13 07:23:15,false,"Tranquility","--","--","00:11:03","88","113","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","3","6","-21","51","30","53","96","00:00:00","00:11:03","--","--"
Walking,2023-10-02 08:42:11,false,"Denton County Walking","3.22","455","01:02:25","102","125","--","108","218","19:23","14:22","49","69","0.77","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:17.73","4","0.0","--","--","--","--","--","--","--","--","01:02:25","01:02:25","523","575"
Cardio,2023-10-01 10:23:59,false,"Cardio","0.00","973","02:24:05","125","160","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","02:24:04.83","1","0.0","--","--","--","--","--","--","--","--","00:00:00","02:24:05","573","573"
Cycling,2023-09-28 10:32:11,false,"Denton County Cycling","17.76","902","01:04:53","158","174","--","--","--","16.4","30.1","436","430","0.00","0.0","0.0","0","--","73","103","--","--","0.0","--","0","0","0.0","0.0","4028","0","0","0","--","0:00","71.6","0:00","No","01:04:53.27","1","96.8","--","--","--","--","--","--","--","--","01:04:41","01:08:15","423","612"
Walking,2023-09-26 07:58:05,false,"Denton County Walking","2.67","375","00:52:09","98","111","--","104","122","19:30","15:48","43","46","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","13:40.30","3","0.0","--","--","--","--","--","--","--","--","00:52:09","00:52:09","550","583"
Virtual Cycling,2023-09-25 13:05:58,false,"ROUVY - Lago di Garda | Italy","16.83","438","01:01:36","146","172","--","--","--","16.4","26.4","312","219","0.00","0.0","0.0","0","--","68","128","138","--","86.0","131","124","367","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:01:35.100","1","0.0","--","--","--","--","--","--","--","--","01:01:36","01:01:54","226","358"
Cardio,2023-09-24 11:10:24,false,"Cardio","0.00","659","01:39:45","119","156","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:39:44.74","1","0.0","--","--","--","--","--","--","--","--","00:00:00","01:39:45","567","567"
Virtual Cycling,2023-09-23 10:42:37,false,"ROUVY - Colorado River | UTAH | USA","19.14","506","01:02:35","154","179","--","--","--","18.3","44.7","502","1,177","0.00","0.0","0.0","0","--","66","103","168","--","131.0","149","141","501","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:02:35.00","1","0.0","--","--","--","--","--","--","--","--","01:02:35","01:06:42","3,972","4,787"
Running,2023-09-22 11:29:17,false,"Denton County Running","2.38","369","00:34:02","139","175","--","133","242","14:18","9:35","43","49","0.84","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:42.35","3","0.0","--","--","--","--","--","--","--","--","00:34:02","00:34:02","552","583"
Cardio,2023-09-21 17:08:13,false,"Cardio","0.00","302","00:43:52","115","155","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","43:51.97","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:43:52","581","596"
Virtual Cycling,2023-09-18 11:25:49,false,"ROUVY - La Vuelta | Valencia","18.45","488","01:04:54","154","177","--","--","--","17.1","22.2","135","52","0.00","0.0","0.0","0","--","63","82","145","--","101.0","150","131","376","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","01:04:54.00","1","0.0","--","--","--","--","--","--","--","--","01:04:54","01:05:07","1","16"
Walking,2023-09-15 07:56:00,false,"Denton County Walking","2.23","324","00:41:02","104","118","--","109","126","18:25","16:14","46","36","0.80","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","04:28.91","3","0.0","--","--","--","--","--","--","--","--","00:40:41","00:41:02","570","593"
Cardio,2023-09-14 20:11:22,false,"Cardio","0.00","100","00:50:09","71","112","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","50:09.39","1","0.0","--","--","--","--","--","--","--","--","00:00:00","00:50:09","520","539"
Breathwork,2023-09-13 06:50:58,false,"Tranquility","--","--","00:11:03","72","83","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","3","6","15","0","15","35","64","00:00:00","00:11:03","--","--"
Cardio,2023-09-12 20:09:42,false,"Cardio","0.00","541","05:08:05","64","112","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","05:08:05.14","1","0.0","--","--","--","--","--","--","--","--","00:00:00","05:08:05","529","564"
Breathwork,2023-09-12 18:50:07,false,"Tranquility","--","--","00:11:03","68","90","--","--","--","--","--","--","--","0.00","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","00:03.00","106","0.0","4","4","5","5","18","23","25","69","00:00:00","00:11:03","--","--"
Walking,2023-09-11 08:15:06,false,"Denton County Walking","3.24","468","00:58:06","102","118","--","111","125","17:56","4:24","56","33","0.81","0.0","0.0","0","--","--","--","--","--","0.0","--","0","0","0.0","0.0","--","0","0","0","--","0:00","0.0","0:00","No","06:13.49","4","0.0","--","--","--","--","--","--","--","--","00:56:47","00:58:06","560","600"
